你好;Здравствуйте
再见;До свидания
欢迎;Добро пожаловать
谢谢;Спасибо
不客气 不用谢;Пожалуйста
对不起不好意思;Извините
没关系。;Ничего страшного
谢谢您的关注;Благодарю за внимание
 пожалуйста;Подскажите
现在几点了;сколько сейчас время?
请问 厕所在哪里;Скажите, пожалуйста, где туалет?
在哪儿可以买到电话卡;Где можно купить телефонную карточку?
在哪儿可以租车;Где можно взять машину напрокат?
请给我们拍一照。;Пожалуйста, сфотографируйте нас
我不明白。;Я не понимаю
请您再说一遍;Повторите пожалуйста что вы сказали
你会说俄语吗;Вы говорите по-русски?
这里有人会说俄语吗;Здесь кто-нибудь говорит по-русски?
你会说英语吗;Вы говорите по-английски?
这里有人会说英语吗;Здесь кто-нибудь говорит по-английски?
你很漂亮;Вы очень красивая
哪里。;Что вы, что вы
您明天晚上干什么;Что Вы делаете завтра вечером?
您想不想喝什么;Не хотите ли что-нибудь выпить?
我爱你;Я тебя люблю
我也爱你。;Я тоже тебя люблю
我不爱你。;Я тебя не люблю
你结婚了吗;Вы замужем/женаты?
我已婚了。;Я женат/замужем
我没结婚;Я не женат/не замужем
我是单身。;У меня нет парня/девушки
一路平安;Счастливого пути
晚安;Спокойной ночи
糟糕;Чёрт
请问, 国际出发室在哪里;Подскажите, пожалуйста, где находится зал отправления международных рейсов?
请问, 国内出发室在哪里;Подскажите, пожалуйста, где находится зал отправления внутренних рейсов?
请问, 国际到达室在哪里;Подскажите, пожалуйста, где находится зал прибытия международных рейсов?
请问, 国内到达室在哪里;Подскажите, пожалуйста, где находится зал прибытия внутренних рейсов?
请问, 行李寄存处在哪里;Где находится камера хранения?
在飞机场有没有计时休息室, 在哪里;В аэропорту есть комната отдыха? Где она?
这个航班在几号航站楼登记;В каком терминале осуществляется регистрация на этот рейс?
这个航班在哪里登记;Где проходит регистрация на этот рейс?
到一/二/三号航站楼怎么走;Как добраться до 1-го/2-го/3-го терминала?
出租车站在哪里;Где находится стоянка такси?
大巴站在哪里;Где находится автобусная остановка?
哪里可以打包行李;Где я могу запаковать свой багаж?
毒品、武器和违禁品我都没有。;Наркотиков, оружия и запрещенных препаратов у меня нет
请把我送到这里。;Довезите меня сюда (указываете место, написанное на визитке)
请打开行李舱吧。;Откройте багажник
这里往左拐。;Здесь поверните налево
这里往右拐。;Здесь поверните направо
公车/地铁票多少钱;Сколько стоит проезд на автобусе/метро?
附近的公交车站在哪儿;Где ближайшая остановка автобуса?
附近的地铁站在哪儿;Где ближайшая станция метро?
下一站是什么站;Какая следующая остановка (станция)?
到 (…) 有多少站;Сколько остановок до (…)?
去 (…) 乘哪趟公交车;Какой автобус идет до (…)?
去 (…) 乘几号线地铁;Какая линия метро идет до (…)?
请问,到 (…) 怎么走;Скажите пожалуйста, как пройти до (…)?
请带我去 (…);Пожалуйста, довезите меня до (…)
飞机场。;… аэропорта
火车站。;… ж/д вокзала
最近的酒店。;…ближайшей гостиницы
最近的饭馆。;… ближайшего ресторана
最近的海滨。;… ближайшего пляжа
最近的购物中心。;… ближайшего торгового центра
最近的超级市场。;… ближайшего супермаркета
最近的公园。;… ближайшего парка
最近的药店。;… ближайшей аптеки
我们预定了双人房间。 这是我们的护照。;Мы бронировали номер на двоих, вот наши паспорта
有没有空的房间;У вас есть свободные номера?
有没有便宜点儿的房间;Есть ли номер подешевле?
我需要单间。;Мне нужен одноместный номер
我需要双人间。;Мне нужен двухместный номер
我需要一个海景的双人房间。;Мне нужен двухместный номер с видом на море
房间里有电话/电视/冰箱/空调吗;В номере есть телефон/телевизор/холодильник/кондиционер?
我的房间在几楼;На каком этаже находится номер?
价格包括早餐吗;Завтрак входит в стоимость?
早餐几点开始;Во сколько завтрак?
我的房间没有打扫。;В моем номере не убрано
我想换个房间。;Я хочу поменять номер
我们房间没有手纸了。;У нас в номере кончилась туалетная бумага
我们今天走。;Мы уезжаем сегодня
我们八月五号走。;Мы уезжаем 5 августа
我们想退房。;Мы хотим сдать номер
我进房间的时候迷你吧就是空的。;В мини-баре уже было пусто ещё до того как я заехал в этот номер
抽水马桶是别人打破的。;Это не я разбил унитаз
;
请给我菜谱。;Принесите пожалуйста, меню
(показывая в меню) 我要这个… 这个…和这个…。;Я хочу заказать это … это… и это
这个辣不辣;Это острое?
请,给我匙子/叉子/餐巾/筷子/盘子。;Принесите пожалуйста, ложки/вилки/салфетки/палочки/тарелки
买单。;Принесите счет
很好吃;Очень вкусно
;
哪里能买到儿童产品;Где можно купить детские товары?
哪里能买到鞋子;Где можно купить обувь?
哪里能买到女的衣服;Где можно купить женскую одежду?
哪里能买到男的衣服;Где можно купить мужскую одежду?
哪里能买到美容;Где можно купить косметику?
哪里能买到日用品;Где можно купить хозтовары?
超级市场在哪一层;На каком этаже продуктовый супермаркет?
出口在哪儿;Где здесь выход?
我把这个试一下,好吗;Могу я это примерить?
试衣间在哪里;Где примерочная?
我需要大一点儿;Мне нужен размер побольше
我需要小一点儿;Мне нужен размер поменьше
我要大一号;Мне нужно на 1 размер больше
我要小一号;Мне нужно на 1 размер меньше
可以刷卡吗;Можно расплатиться картой?
多少钱;Сколько стоит?
太贵了 来便宜点儿。;Очень дорого Давай немного подешевле
我们是穷学生, 这个我们买不起。;Мы бедные студенты, нам это не по карману
有像这个一样,但是珠母扣子的吗;Есть такой же, но с перламутровыми пуговицами?
没有,那么再找一下。;Нет, значит, будем искать
这是一斤的价格吗;Это цена за 1 цзинь? (1 цзинь = 0,5 кг в Китае цена указывается обычно за 1 цзинь)
哪里能买到水果;Где можно купить фрукты?
哪里能买到蔬菜;Где можно купить овощи?
哪里能买到肉类;Где можно купить мясо?
哪里能买到酒类;Где можно купить алкогольную продукцию?
哪里能买到奶制品;Где можно купить молочную продукцию?
哪里能买到糖果点心;Где можно купить кондитерские изделия?
哪里能买到茶叶;Где можно купить чай?
我要大的袋子。;Нужен 1 большой пакет
我要小的袋子。;Нужен один маленький пакет
我刷卡。;Я расплачусь картой
请问,到最近的药店怎么走;Подскажите пожалуйста, как пройти до ближайшей аптеки?
请给我拿一个…;Дайте пожалуйста что-нибудь от …
治头疼的药。;… головной боли
治腹泻的药。;… поноса
治伤风的药。;… насморка
治咳嗽的药。;… кашля
我要止痛药。;Мне нужно обезболивающее
我要创可贴。;Мне нужен бактерицидный пластырь
我要一张/两张/三张/四张/五张/六张/七张/八张票。;Мне нужно один/два/три/четыре/пять/шесть/семь/восемь билетов
孩子有折扣吗;Есть скидка детям?
学生有折扣吗;Есть скидка студентам? (по карте ISIC)
一;1
二;2
三;3
四;4
五;5
六;6
七;7
八;8
九;9
十;10
一十一;11
一十二;12
二十;20
三十;30
四十;40
五十;50
五十一;51
五十二;52
五十三;53
一百;100
一百零一;101
一百一十;110
一百一十五;115
二百;200
一千;1000
一万;10000
一百万;1000000
我;Я
我们;Мы
你;Ты
你们;Вы
您;Вы (уважительно)
他;Он
她;Она
他们;Они
它;Оно
 это),这;Этот (эта
 то),那;Тот (та
什么;Что?
哪里;Где? Куда? Откуда?
什么时候;Когда?
谁;Кто? Кого? Чей?
多少 например 多少钱?;Сколько? Например, сколько стоит?
几 например 现在几点?;Сколько? Например, сколько сейчас время?
怎么;Как? Каким образом?
为什么;Почему? Зачем?
什么 или 哪个;Какой?
白色;Белый
黑色;Черный
红色;Красный
绿色;Зеленый
天蓝 色;Голубой
粉红色;Розовый
黄色;Желтый
橙黄色;Оранжевый
蓝色;Синий
紫色;Фиолетовый
